time,sensor_AccelerometerX[],sensor_AccelerometerY[],sensor_AccelerometerZ[],sensor_GyroscopeX[],sensor_GyroscopeY[],sensor_GyroscopeZ[],label_shakestill_STILL,label_shakestill_shake
1659956798274,,,,-0.06283185307179587,0.05061454830783556,-0.008726646259971648,x,
1659956798296,-0.4,4.800000000000001,8.4,0.03316125578789226,-0.005235987755982989,-0.031415926535897934,x,
1659956798313,,,,0.0471238898038469,-0.04537856055185257,-0.022689280275926284,x,
1659956798329,-0.4,4.800000000000001,8.3,,,,x,
1659956798341,,,,0.017453292519943295,-0.04188790204786391,-0.022689280275926284,x,
1659956798349,-0.30000000000000004,4.7,8.6,,,,x,
1659956798359,,,,-0.031415926535897934,0,-0.024434609527920613,x,
1659956798375,-0.4,4.7,8.6,,,,x,
1659956798376,,,,-0.05061454830783556,0.06806784082777885,-0.015707963267948967,x,
1659956798395,-0.5,4.7,8.6,-0.026179938779914945,0.06283185307179587,-0.0017453292519943296,x,
1659956798413,,,,0.03490658503988659,0.003490658503988659,0.006981317007977318,x,
1659956798429,-0.5,4.800000000000001,8.4,,,,x,
1659956798446,,,,0.0890117918517108,-0.020943951023931956,0.024434609527920613,x,
1659956798449,-0.30000000000000004,4.800000000000001,8.200000000000001,,,,x,
1659956798459,,,,0.08028514559173916,0.005235987755982989,0.04363323129985824,x,
1659956798474,-0.30000000000000004,4.800000000000001,8,0.031415926535897934,0.054105206811824215,0.04188790204786391,x,
1659956798493,,,,-0.005235987755982989,0.048869219055841226,0.04014257279586958,x,
1659956798509,-0.2,4.9,8.1,,,,x,
1659956798529,-0.30000000000000004,4.800000000000001,8.3,,,,x,
1659956798533,,,,-0.013962634015954637,0.017453292519943295,0.03316125578789226,x,
1659956798549,-0.30000000000000004,4.800000000000001,8.5,,,,x,
1659956798559,,,,-0.03316125578789226,-0.03316125578789226,0.027925268031909273,x,
1659956798574,-0.2,4.9,8.5,,,,x,
1659956798649,-0.30000000000000004,4.9,8.6,,,,x,
1659956798656,,,,-0.008726646259971648,-0.008726646259971648,-0.031415926535897934,x,
1659956798672,-0.30000000000000004,4.800000000000001,8.700000000000001,,,,x,
1659956798673,,,,-0.008726646259971648,-0.008726646259971648,-0.020943951023931956,x,
1659956798689,-0.30000000000000004,4.7,8.8,,,,x,
1659956798709,-0.4,4.7,8.5,,,,x,
1659956798713,,,,0.029670597283903602,0.08377580409572782,-0.003490658503988659,x,
1659956798729,-0.4,4.800000000000001,8.3,,,,x,
1659956798733,,,,0.03839724354387525,0.07330382858376185,0.006981317007977318,x,
1659956798749,-0.30000000000000004,4.800000000000001,8.1,,,,x,
1659956798771,-0.4,4.800000000000001,8,,,,x,
1659956798773,,,,-0.012217304763960306,0.07330382858376185,0.006981317007977318,x,
1659956798789,-0.30000000000000004,4.800000000000001,8.1,,,,x,
1659956798793,,,,-0.017453292519943295,-0.005235987755982989,0.008726646259971648,x,
1659956798976,-0.2,4.800000000000001,8.5,-0.019198621771937624,-0.003490658503988659,-0.012217304763960306,x,
1659956798989,-0.2,4.800000000000001,8.4,0.026179938779914945,-0.03665191429188092,-0.020943951023931956,x,
1659956799003,,,,-0.015707963267948967,0.0017453292519943296,-0.026179938779914945,x,
1659956799009,-0.4,4.7,8.3,,,,x,
1659956799029,-0.4,4.7,8.5,,,,x,
1659956799041,,,,-0.017453292519943295,-0.031415926535897934,-0.0017453292519943296,x,
1659956799049,-0.30000000000000004,4.7,8.6,,,,x,
1659956799059,,,,-0.005235987755982989,-0.03665191429188092,0.003490658503988659,x,
1659956799069,-0.30000000000000004,4.800000000000001,8.5,,,,x,
1659956799149,-0.30000000000000004,4.800000000000001,8.6,,,,x,
1659956799158,,,,0.04014257279586958,-0.0017453292519943296,-0.04188790204786391,x,
1659956799180,-0.5,4.7,8,0.03490658503988659,0.05061454830783556,-0.031415926535897934,x,
1659956799193,,,,0.03490658503988659,0.054105206811824215,-0.017453292519943295,x,
1659956799209,-0.5,4.7,8,,,,x,
1659956799213,,,,0.006981317007977318,0.005235987755982989,-0.0017453292519943296,x,
1659956799229,-0.4,4.7,8.3,,,,x,
1659956799249,-0.4,4.7,8.700000000000001,,,,x,
1659956799261,,,,-0.061086523819801536,-0.03490658503988659,-0.003490658503988659,x,
